Pericope;Matthew;Mark;Luke;John
Prologue;1:1;1:1;1:1-4;1:1-18
The Promise of the Birth of John the Baptist;;;1:5-25;
The Annunciation;;;1:26-38;
Mary's Visit to Elizabeth;;;1:39-56;
The Birth of John the Baptist;;;1:57-80;
The Genealogy of Jesus;1:2-17;;3:23-38;
The Birth of Jesus;1:18-25;;2:1-7;
The Adoration of the Infant Jesus;2:1-12;;2:8-20;
The Circumcision and Presentation in the Temple;;;2:21-38;
The Flight into Egypt and Return;2:13-21;;;
The Childhood of Jesus at Nazareth;2:22-23;;2:39-40;
The Boy Jesus in the Temple;;;2:41-52;
John the Baptist;3:1-6;1:2-6;3:1-6;1:19-23
John's Preaching of Repentance;3:7-10;;3:7-9;
John Preaching and Replies to Questioners;;;3:10-14;
John's Messianic Preaching;3:11-12;1:7-8;3:15-18;1:24-28
The Imprisonment of John;14:3-4;6:17-18;3:19-20;
The Baptism of Jesus;3:13-17;1:9-11;3:21-22;1:29-34
The Genealogy of Jesus;1:1-17;;3:23-38;
The Temptation;4:1-11;1:12-13;4:1-13;
The Journey into Galilee;4:12;1:14a;4:14a;4:1-3
The Discourse with the Woman of Samaria;;;;4:4-42
Ministry in Galilee;4:13-17;1:14b-15;4:14b-15;4:43-46a
Jesus' Preaching at Nazareth;13:53-58;6:1-6a;4:16-30;
The Call of the Disciples;4:18-22;1:16-20;;
Teaching in the Synagogue at Capernaum;;1:21-22;4:31-32;
Healing of the Demoniac in the Synagogue;;1:23-28;4:33-37;
The Healing of Peter's Mother-in-law;8:14-15;1:29-31;4:38-39;
The Sick Healed at Evening;8:16-17;1:32-34;4:40-41;
Jesus Departs from Capernaurn;;1:35-38;4:42-43;
First Preaching Tour in Galilee;4:23;1:39;4:44;
The Miraculous Catch of Fish;;;5:1-11;
The Cleansing of the Leper;8:1-4;1:40-45;5:12-16;
The Healing of the Paralytic;9:1-8;2:1-12;5:17-26;5:8-9a
The Call of Levi (Matthew);9:9-13;2:13-17;5:27-32;
The Question about Fasting;9:14-17;2:18-22;5:33-39;
Plucking Grain on the Sabbath;12:1-8;2:23-28;6:1-5;
The Man with the Withered Hand;12:9-14;3:1-6;6:6-11;
Jesus Heals Multitudes by the Sea;4:24-25, 12:15-16;3:7-12;6:17-19;
