Source,Target,Weight,Type
1_book,10_book,2,undirected
1_book,11_book,1,undirected
1_book,2_book,1,undirected
1_book,32_book,3,undirected
1_book,8_book,1,undirected
1_book,9_book,4,undirected
10_book,1_book,2,undirected
10_book,11_book,4,undirected
10_book,12_book,3,undirected
10_book,14_book,1,undirected
10_book,27_book,1,undirected
10_book,7_book,2,undirected
10_book,8_book,3,undirected
10_book,9_book,6,undirected
11_book,1_book,1,undirected
11_book,10_book,4,undirected
11_book,12_book,6,undirected
11_book,14_book,3,undirected
11_book,17_book,2,undirected
11_book,27_book,3,undirected
12_book,10_book,3,undirected
12_book,11_book,6,undirected
12_book,14_book,4,undirected
12_book,27_book,2,undirected
12_book,7_book,1,undirected
13_book,14_book,1,undirected
13_book,15_book,4,undirected
13_book,16_book,3,undirected
14_book,10_book,1,undirected
14_book,11_book,3,undirected
14_book,12_book,4,undirected
14_book,13_book,1,undirected
14_book,15_book,1,undirected
14_book,16_book,1,undirected
14_book,17_book,3,undirected
14_book,6_book,1,undirected
15_book,13_book,4,undirected
15_book,14_book,1,undirected
15_book,16_book,6,undirected
16_book,13_book,3,undirected
16_book,14_book,1,undirected
16_book,15_book,6,undirected
16_book,4_book,2,undirected
16_book,6_book,2,undirected
17_book,11_book,2,undirected
17_book,14_book,3,undirected
17_book,27_book,1,undirected
18_book,19_book,6,undirected
18_book,20_book,4,undirected
18_book,21_book,1,undirected
18_book,22_book,2,undirected
18_book,23_book,2,undirected
18_book,25_book,2,undirected
18_book,35_book,2,undirected
19_book,18_book,6,undirected
19_book,22_book,3,undirected
19_book,23_book,2,undirected
19_book,25_book,3,undirected
19_book,33_book,1,undirected
19_book,34_book,2,undirected
2_book,1_book,1,undirected
2_book,26_book,2,undirected
2_book,3_book,3,undirected
2_book,4_book,6,undirected
2_book,5_book,3,undirected
20_book,18_book,4,undirected
20_book,21_book,5,undirected
20_book,23_book,1,undirected
20_book,b_book,1,undirected
21_book,18_book,1,undirected
21_book,20_book,5,undirected
21_book,45_book,2,undirected
22_book,18_book,2,undirected
22_book,19_book,3,undirected
22_book,23_book,1,undirected
23_book,18_book,2,undirected
23_book,19_book,2,undirected
23_book,20_book,1,undirected
23_book,22_book,1,undirected
23_book,24_book,5,undirected
23_book,25_book,1,undirected
23_book,26_book,2,undirected
23_book,28_book,3,undirected
23_book,29_book,3,undirected
23_book,3_book,1,undirected
23_book,30_book,3,undirected
23_book,31_book,3,undirected
23_book,33_book,5,undirected
23_book,34_book,3,undirected
23_book,35_book,3,undirected
23_book,36_book,3,undirected
23_book,38_book,4,undirected
23_book,39_book,3,undirected
23_book,5_book,1,undirected
23_book,66_book,2,undirected
24_book,23_book,5,undirected
24_book,26_book,6,undirected
24_book,28_book,1,undirected
24_book,30_book,2,undirected
24_book,33_book,2,undirected
24_book,36_book,2,undirected
24_book,37_book,1,undirected
24_book,38_book,3,undirected
24_book,39_book,1,undirected
24_book,5_book,2,undirected
25_book,18_book,2,undirected
25_book,19_book,3,undirected
25_book,23_book,1,undirected
26_book,2_book,2,undirected
26_book,23_book,2,undirected
26_book,24_book,6,undirected
26_book,30_book,1,undirected
26_book,31_book,1,undirected
26_book,35_book,1,undirected
26_book,38_book,2,undirected
26_book,4_book,1,undirected
27_book,10_book,1,undirected
27_book,11_book,3,undirected
27_book,12_book,2,undirected
27_book,17_book,1,undirected
27_book,66_book,3,undirected
28_book,23_book,3,undirected
28_book,24_book,1,undirected
28_book,33_book,3,undirected
29_book,23_book,3,undirected
29_book,30_book,2,undirected
29_book,33_book,1,undirected
3_book,2_book,3,undirected
3_book,23_book,1,undirected
3_book,4_book,2,undirected
30_book,23_book,3,undirected
30_book,24_book,2,undirected
30_book,26_book,1,undirected
30_book,29_book,2,undirected
30_book,37_book,2,undirected
30_book,39_book,2,undirected
31_book,23_book,3,undirected
31_book,26_book,1,undirected
31_book,34_book,2,undirected
32_book,1_book,3,undirected
32_book,40_book,1,undirected
32_book,9_book,2,undirected
33_book,19_book,1,undirected
33_book,23_book,5,undirected
33_book,24_book,2,undirected
33_book,28_book,3,undirected
33_book,29_book,1,undirected
33_book,36_book,1,undirected
34_book,19_book,2,undirected
34_book,23_book,3,undirected
34_book,31_book,2,undirected
34_book,35_book,1,undirected
34_book,b_book,3,undirected
35_book,18_book,2,undirected
35_book,23_book,3,undirected
35_book,26_book,1,undirected
35_book,34_book,1,undirected
36_book,23_book,3,undirected
36_book,24_book,2,undirected
36_book,33_book,1,undirected
37_book,24_book,1,undirected
37_book,30_book,2,undirected
37_book,38_book,3,undirected
38_book,23_book,4,undirected
38_book,24_book,3,undirected
38_book,26_book,2,undirected
38_book,37_book,3,undirected
39_book,23_book,3,undirected
39_book,24_book,1,undirected
39_book,30_book,2,undirected
