"1_book" "10_book" "11_book" "12_book" "13_book" "14_book" "15_book" "16_book" "17_book" "18_book" "19_book" "2_book" "20_book" "21_book" "22_book" "23_book" "24_book" "25_book" "26_book" "27_book" "28_book" "29_book" "3_book" "30_book" "31_book" "32_book" "33_book" "34_book" "35_book" "36_book" "37_book" "38_book" "39_book" "4_book" "40_book" "41_book" "42_book" "43_book" "44_book" "45_book" "46_book" "47_book" "48_book" "49_book" "5_book" "50_book" "51_book" "52_book" "53_book" "54_book" "55_book" "56_book" "57_book" "58_book" "59_book" "6_book" "60_book" "61_book" "62_book" "63_book" "64_book" "65_book" "66_book" "7_book" "8_book" "9_book" "b_book"
"the" 6.25131274942239 7.64594371263306 8.05847230800906 8.66600917627889 9.94291387441052 9.05603348058591 11.1291853056798 11.0930942388401 10.8383023500526 6.07172187243362 5.65309311517603 8.65551964196917 7.14710743801653 6.46544025718878 6.31303698169593 7.03272111999563 7.55337783458789 7.10318620286466 8.73326886864471 9.0543431750107 5.63924295094631 9.33400605449041 8.91733109525808 8.52750420369926 8.50077279752705 6.09291698400609 6.86777920410783 9.17207792207792 8.05555555555556 7.75969962453066 10.0824931255729 7.68744068332806 5.66801619433198 9.57822109831101 6.26279863481229 5.86539750636815 5.6998248004672 5.86103671025681 6.61525137130367 6.50775234679886 5.99681020733652 4.9124513618677 6.46193218170186 8.24104234527687 6.34301659988552 5.82698341550874 7.30365182591296 4.79041916167665 6.28571428571429 5.26085050416484 5.67331670822943 4.0133779264214 3.88127853881279 6.35846372688478 6.03822762814944 10.3992721044744 6.40760644894585 6.55418559377028 6.52699435938759 7.35785953177258 5.35117056856187 6.20031796502385 9.49752883031302 7.96178343949045 5.50931430836306 6.5606121627064 0
"and" 9.74060071413569 7.67510815146065 7.79493514515133 7.77839715278076 10.3350707371556 8.2112686972022 7.65893994848855 7.78328882106066 6.69940371799369 4.79058308239803 3.67451052486442 8.05258577821979 3.5504132231405 4.48294338274692 2.76428838251774 5.84013317686871 5.61946693178052 2.98158433206665 6.39218280828541 7.66795036371416 5.13711857860178 7.26538849646821 6.27360469995804 5.78909440307471 4.79134466769706 6.93069306930693 5.3594351732991 6.25 5.34722222222222 4.56821026282854 6.78276810265811 6.99145839924075 6.18854829381145 7.04317692235647 6.90273037542662 8.54001876927202 7.45182012847966 4.65836878315215 7.21738771806821 2.81615863305559 2.9558745348219 2.52918287937743 2.36724248240563 4.00651465798046 6.11763022323984 3.98924249215598 4.20210105052526 4.5182362547632 4.66666666666667 4.03331871985971 3.99002493765586 3.90189520624303 3.19634703196347 3.4850640113798 4.95221546481321 8.17276814386641 2.64572137246796 4.28293316028553 4.8751007252216 4.68227424749164 3.34448160535117 4.1335453100159 9.45634266886326 8.22186836518047 8.00634165675783 8.03463552154652 0
"of" 3.61531190926276 4.1996791911729 4.80955322215359 6.09322070237125 7.58500868701911 5.88622800899016 8.58072387149248 6.60053414727203 3.68291827428972 3.02217355598139 3.52743818365659 4.8265788165092 4.05289256198347 2.82193248794428 4.51998505790063 4.18633845482084 4.96851772948918 3.85852090032154 4.32337523538094 4.0650406504065 3.28312089609888 3.68314833501514 4.44817456986991 4.80422772039395 6.02782071097372 2.43716679360244 5.5198973042362 4.46428571428571 3.125 5.00625782227785 6.32447296058662 5.06168933881683 4.27993059572007 6.79341887546439 2.72184300341297 2.33945569111141 2.90441892154954 2.46310592931044 3.18389903905638 4.18732201244594 3.28548644338118 3.68028534370947 3.55086372360845 5.17915309446254 3.6884659416142 4.30300313760645 4.30215107553777 3.64725095264017 4.47619047619048 3.59491451117931 3.92768079800499 3.2329988851728 2.96803652968037 4.56614509246088 3.38835794960904 6.29950760008563 4.58867300537412 4.15314730694354 2.90088638195004 1.33779264214047 2.67558528428094 4.29252782193959 4.61285008237232 5.0796178343949 3.52754657154182 3.65686669351591 0
"to" 1.61468178954001 2.15816847324163 2.0094708667902 2.29406972256764 1.84661206254654 2.45679299387739 1.69445574081605 1.57382678367035 3.13924938618029 1.17711470024637 1.26160492692343 1.39855793137742 1.84462809917355 2.78621182353992 0.933881210310049 1.58011079878831 1.85816408654074 1.31540485238234 1.37411573108046 1.78861788617886 1.37118578601777 1.05953582240161 0.906420478388586 1.22507806870046 1.39103554868624 2.28484386900228 1.18741976893453 0.487012987012987 1.73611111111111 1.18898623279099 1.55820348304308 1.47105346409364 0.983227299016773 1.40801098935406 1.66808873720137 1.70934441614157 2.14522094607748 1.18166062706791 2.46216026724956 2.42590444045987 2.11589580010633 1.96173800259403 2.01535508637236 2.31270358306189 1.81740125930166 2.42043926490363 1.65082541270635 2.12302667392488 2.28571428571429 2.58658483121438 2.36907730673317 4.57079152731327 3.19634703196347 2.00568990042674 1.52041702867072 1.8946692357097 2.19098801157503 2.07657365347177 0.40290088638195 2.0066889632107 3.67892976588629 2.06677265500795 1.55683690280066 1.62420382165605 1.70432025366627 2.46878775674587 0
"that" 1.40464188195757 1.54085451805765 1.5112209182623 1.56940096908366 0.893521965748325 1.4027745485546 1.24711942524061 1.4975200305227 1.96422307962119 1.75198467013414 1.41097527346263 1.33018398806564 2.35371900826446 2.76835149133774 1.30743369443407 2.02767240673526 1.66169578184917 1.49079216603332 1.64893887729655 1.52332049636286 1.04287369640788 1.10998990918264 1.48132605958875 1.89766994955561 2.00927357032457 1.9040365575019 1.28369704749679 1.13636363636364 2.29166666666667 2.5657071339174 1.00824931255729 1.99304017715913 2.25563909774436 1.34557147763105 1.78754266211604 1.69593779326988 1.9271948608137 2.82548185494459 1.77753948942137 3.05874907710157 2.76448697501329 2.56160830090791 2.87907869481766 2.47557003257329 1.86748712077848 2.4652622142537 2.10105052526263 2.88513881328253 3.9047619047619 2.36738272687418 2.0573566084788 2.89855072463768 2.51141552511416 2.36130867709815 2.25890529973936 1.45579105116677 2.23232740801984 2.27125243348475 4.43190975020145 4.34782608695652 3.34448160535117 1.11287758346582 1.96046128500824 1.6135881104034 1.78359096313912 1.70358437374144 0
"in" 1.52541482881748 1.28323530841394 1.82828906732551 1.92530337464088 1.32042690493919 2.12741222971402 1.27423071709367 1.54521175123998 1.894072255349 1.3851628798248 2.00156264362533 1.43896071606166 1.66611570247934 1.7860332202179 1.08330220395966 1.58283983298311 1.70193627799082 1.84156679333528 1.75835920403074 1.56611039794608 1.66087292390885 1.51362260343088 1.50650440621066 1.51333173192409 2.62751159196291 0.837776085300838 1.70089858793325 1.78571428571429 1.25 1.87734668335419 2.19981668194317 1.88231572287251 1.61943319838057 1.18010677156505 1.27559726962457 1.11945300978683 1.48335604438388 1.22892705215062 1.43935332206046 1.9301761417572 1.92450824029771 3.25875486381323 1.8554062699936 3.74592833876221 1.75300515168861 3.89959659345585 4.35217608804402 2.83070223189984 2.28571428571429 2.58658483121438 2.24438902743142 2.67558528428094 3.65296803652968 1.26600284495021 1.65073848827107 1.28987368871762 2.19098801157503 2.66060999351071 2.82030620467365 3.01003344481605 2.0066889632107 2.7027027027027 1.26029654036244 1.44904458598726 1.18906064209275 1.40153040676601 0
"he" 1.72757823986557 1.47766490059787 1.92711550339716 2.20402212598088 0.675105485232067 1.51515151515152 0.230445980750983 0.247996947729874 0.771659066994037 2.01478237065426 1.29607500689402 1.16546494281452 1.88429752066116 1.21450258974817 0.597683974598431 1.02884589143902 0.556265681958055 1.92926045016077 0.748129675810474 1.51476251604621 1.02356122054847 0.403632694248234 1.947125472094 0.720634158059092 0 1.5993907083016 0.898587933247754 0.730519480519481 1.45833333333333 0.81351689612015 0.0916590284142988 0.727617842454919 1.27241179872759 0.764884018606975 1.84300341296928 2.87572060597935 2.69028615923691 2.49461687936558 1.60844640574092 0.970361776183947 1.05263157894737 0.794422827496757 0.767754318618042 1.04234527687296 1.1090440755581 0.358583594800538 0.650325162581291 0.217746325530757 0.761904761904762 0.482244629548444 0.872817955112219 0.557413600891862 0.684931506849315 1.83499288762447 1.43353605560382 0.733247698565618 0.496072757337743 0.389357560025957 2.82030620467365 0.668896321070234 1.67224080267559 0.317965023847377 1.25205930807249 1.42781316348195 1.18906064209275 1.42569472412404 0
"unto" 1.54379332073094 1.34642492587372 1.17356392835083 0.891900004287981 0.615537354182179 0.740137952414167 1.16578554968144 1.23044639450591 1.42055419151175 0.59676977826444 0.99963231914698 1.38301839880656 0.429752066115702 0.250044650830505 0.149420993649608 0.616761728024452 1.04151872366615 0.584624378836597 0.964425670517584 0.890029952931108 1.00424874468907 0.454086781029263 1.53168275283256 0.624549603651213 0.309119010819165 2.28484386900228 0.994865211810013 0.0811688311688312 0.763888888888889 0.187734668335419 0.274977085242896 1.15469788041759 0.867553499132447 1.57035371983391 1.79607508532423 1.83000402198686 1.59236908701577 2.01144897852004 1.23726646595455 1.10747811412298 0.723019670388091 0.988975356679637 0.959692898272553 1.30293159609121 1.63852318259874 0.80681308830121 0.950475237618809 1.08873162765378 0.476190476190476 0.526085050416484 1.12219451371571 0.780379041248606 1.14155251141553 0.810810810810811 0.217202432667246 1.64311710554485 1.36420008267879 1.03828682673589 0.88638195004029 1.33779264214047 1.67224080267559 1.4308426073132 0.823723228995058 1.77813163481953 1.82322631787555 1.33709222714458 0
"for" 0.858538122243226 0.870072425023089 0.963557751698579 0.651773080056601 1.35517498138496 1.1702704797334 1.03022909041616 0.963372758489126 1.03472465801473 1.14426498768136 1.89815240371358 1.27424167081054 1.07107438016529 1.71459189140918 0.709749719835637 1.39453647354201 1.24035411636605 1.34463607132417 0.880451931396 0.787334189131365 1.56431054461182 2.11907164480323 1.40159462861939 1.32116262310834 0.927357032457496 1.5993907083016 1.63671373555841 1.05519480519481 1.73611111111111 1.37672090112641 0.824931255728689 1.07560898449858 1.0989010989011 1.22069245418501 1.09641638225256 0.898243732403808 1.03562390500292 0.90856572658999 0.800098981317276 2.26769328129944 1.79691653375864 2.33463035019455 1.7914267434421 1.1400651465798 0.99813966800229 1.65844912595249 1.45072536268134 2.34077299945563 1.61904761904762 1.70977641385357 1.55860349127182 1.44927536231884 1.59817351598174 2.37553342816501 1.25977410947003 0.931278098908157 2.02563042579578 1.55743024010383 0.96696212731668 1.33779264214047 1.00334448160535 1.74880763116057 0.782537067545305 0.631634819532909 0.832342449464923 0.950463149416029 0
"shall" 0.62224322621298 0.349973265931075 0.428247889643813 0.458813944513529 0.109208240258129 0.271254746958072 0.135556459265284 0.11446012972148 0.315678709224833 1.13331508349302 0.928394153874437 1.5011188463451 1.46776859504132 1.0180389355242 0.149420993649608 2.67172447670769 1.54807555744923 0.292312189418299 2.09679881927833 2.12237911852803 2.58787176516029 1.81634712411705 4.11665967268149 2.49819841460485 3.40030911901082 0.228484386900228 2.63157894736842 1.05519480519481 1.80555555555556 2.50312891113892 0.549954170485793 2.98956026573869 1.67727009832273 1.82323374231214 1.41638225255973 0.904947043839657 1.05509051975861 0.656478126148837 0.276322844063183 0.854340259466301 0.680489101541733 0.356679636835279 0.479846449136276 0.228013029315961 1.65283342873497 0.582698341550874 0.350175087543772 0.326619488296135 0.476190476190476 0.219202104340202 0.872817955112219 0.111482720178372 0.228310502283105 0.469416785206259 0.781928757602085 0.535217298223079 0.454733360892931 0.973393900064893 0.40290088638195 0.668896321070234 0.334448160535117 0.158982511923688 0.790774299835255 0.323779193205945 0.396353547364249 0.487313733387032 0
